player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Derrick White,BOS,30,76,33.9,16.4,4.5,4.8,0.9,1.1,1.7,0.442,0.384,0.839,7.1,31.3,20071429,TRUE,20.071429,1.56
Norman Powell,LAC,32,60,32.6,21.8,3.2,2.1,1.2,0.2,1.8,0.484,0.418,0.804,5.9,29.79,19241379,TRUE,19.241379,1.55
De'Anthony Melton,BKN,27,6,20.2,10.3,3.3,2.8,1.2,0.3,1.7,0.407,0.371,0.625,4.5,19.76,12822000,FALSE,12.822,1.54
Patrick Baldwin Jr.,LAC,22,24,4.4,2.2,1,0.1,0.1,0.1,0.2,0.543,0.565,0.5,1.2,3.75,2448840,FALSE,2.44884,1.53
John Konchar,MEM,29,46,12.1,2.4,3.3,0.9,0.7,0.3,0.3,0.451,0.371,0.875,1.3,9.41,6165000,FALSE,6.165,1.53
Jarrett Allen,CLE,27,82,28,13.5,9.7,1.9,0.9,0.9,1.2,0.706,0,0.718,6.3,30.39,20000000,TRUE,20,1.52
Leonard Miller,MIN,21,13,2.4,1.5,0.8,0,0.2,0.1,0.2,0.4,0,1,-0.9,2.86,1891857,FALSE,1.891857,1.51
Kelly Olynyk,NOP,34,44,20.2,8.7,4.7,2.9,0.8,0.4,1.7,0.5,0.418,0.769,-1.3,19.39,12804878,TRUE,12.804878,1.51
MarJon Beauchamp,NYK,24,35,4.5,2.3,1.3,0.3,0.1,0,0.4,0.415,0.345,0.75,0.3,4.11,2733720,FALSE,2.73372,1.5
Gary Payton II,GSW,32,62,15,6.5,3,1.3,0.8,0.3,0.6,0.574,0.326,0.711,0.7,13.65,9130000,TRUE,9.13,1.5
Myles Turner,IND,29,72,30.2,15.6,6.5,1.5,0.8,2,1.7,0.481,0.396,0.773,2.8,29.55,19928500,TRUE,19.9285,1.48
Collin Sexton,UTA,26,63,27.9,18.4,2.7,4.2,0.7,0.1,2.5,0.48,0.406,0.865,-4.5,27.04,18350000,TRUE,18.35,1.47
DeMar DeRozan,SAC,35,77,35.9,22.2,3.9,4.4,0.8,0.4,1.4,0.477,0.328,0.857,1.4,34.48,23400000,TRUE,23.4,1.47
Simone Fontecchio,DET,29,75,16.5,5.9,2.9,0.9,0.4,0.2,0.7,0.402,0.335,0.833,0.2,11.23,7692308,TRUE,7.692308,1.46
Obi Toppin,IND,27,79,19.6,10.5,4,1.6,0.6,0.4,0.9,0.529,0.365,0.781,-1,18.8,12975000,TRUE,12.975,1.45
Joe Ingles,MIN,37,19,6,0.8,0.6,1.2,0.1,0,0.5,0.261,0.2,0,0.1,3.02,2087519,FALSE,2.087519,1.45
